설치,날짜,종별,지사,총사용량,primary_type,secondary_types,severity,if_score,ae_score,mp_score,gmm_log_likelihood,context_zscore
Inst_7825,2024-08-27,업무용,Branch_0007,10.06,계절역행형,기저유량이상형,0.43214887,-0.053646583,0.00019650534,1.4047141,58.916332,70.85714
Inst_8157,2024-11-01,업무용,Branch_0003,0.22000001,급증형,,0.3188842,-0.09237769,0.00041129117,0.43727463,44.297325,10.000001
Inst_7547,2025-05-21,업무용,Branch_0007,0.63,급증형,기저유량이상형,0.47823787,-0.03788636,0.00088415854,0.6634003,27.502806,30.500002
Inst_1064,2022-12-05,공공용,Branch_0019,13.709998,급증형,기저유량이상형,0.48657897,-0.035034083,0.00027572617,0.6221331,65.347916,79.64705
Inst_7982,2024-10-29,업무용,Branch_0008,1.7100003,급증형,기저유량이상형,0.35523254,-0.0799483,0.00042079398,0.35198677,54.44301,18.000002
Inst_0551,2021-07-15,업무용,Branch_0008,2.26,급증형,기저유량이상형,0.38582084,-0.069488555,0.0010143415,0.45042008,43.706867,24.11111
Inst_8790,2021-10-25,업무용,Branch_0003,0.9000001,급증형,기저유량이상형,0.50629145,-0.028293379,0.0021402573,0.9982925,32.028408,9.0
Inst_6836,2023-08-18,업무용,Branch_0007,1.1700002,급증형,기저유량이상형,0.35590485,-0.079718396,0.00024447174,0.5415013,48.359882,6.800002
Inst_4840,2023-04-24,주택용,Branch_0014,3.5900002,기저유량이상형,,0.050733387,-0.18407245,5.831956e-05,1.0883155,67.62507,0.39487156
Inst_4924,2023-06-16,냉수용,Branch_0014,7.56,기저유량이상형,,0.3528732,-0.08075508,0.0006096924,0.5842169,49.414444,1.4210526
