종별,날짜,true_label,is_true_anomaly,ours_flag,baseline_flag,if_score_eval,ae_score_eval,총사용량
주택용,2023-12-03,normal,0,0,0,-0.171973,2.0001959e-05,16.350000381469727
주택용,2022-10-07,normal,0,1,1,-0.16719018,0.00010515301,4.409999847412109
주택용,2021-04-24,normal,0,1,1,-0.16339971,8.399321e-05,9.579999923706055
주택용,2021-07-01,normal,0,0,1,-0.10385293,0.00039240773,1.5399999618530273
주택용,2024-12-08,normal,0,1,1,-0.1716807,4.480463e-05,12.530000686645508
주택용,2023-07-31,normal,0,0,0,-0.085262865,0.0008201416,0.8799998760223389
주택용,2025-11-24,normal,0,0,0,-0.1770135,1.0609871e-05,10.649999618530273
주택용,2025-06-25,normal,0,0,0,-0.13272771,0.00050927064,1.2799999713897705
주택용,2022-01-25,normal,0,0,0,-0.18748169,3.0491436e-05,9.15999984741211
주택용,2025-10-29,normal,0,0,1,-0.12554248,0.00021549023,10.270000457763672
주택용,2024-09-18,normal,0,0,0,-0.10201664,0.00087638356,1.119999885559082
주택용,2022-11-05,normal,0,0,1,-0.14691539,7.279265e-05,14.239999771118164
주택용,2021-03-31,normal,0,0,1,-0.12095196,0.00036150575,4.8899993896484375
주택용,2021-12-05,normal,0,0,0,-0.17955701,4.097537e-05,10.510000228881836
주택용,2022-07-02,normal,0,0,0,-0.14699134,0.00018271637,3.1000001430511475
주택용,2022-04-19,normal,0,1,0,-0.18009692,5.7595887e-05,7.020000457763672
주택용,2022-04-12,normal,0,0,0,-0.16753408,0.00017909247,3.9000000953674316
주택용,2024-01-12,normal,0,0,0,-0.18357395,4.633248e-05,1.480000376701355
주택용,2025-05-27,normal,0,0,0,-0.12591177,0.0003309604,3.1700000762939453
주택용,2022-04-27,normal,0,0,1,-0.14284232,0.00029511788,1.7800002098083496
주택용,2022-01-16,normal,0,0,0,-0.17948738,4.8971622e-05,9.15999984741211
주택용,2021-11-20,normal,0,0,0,-0.18817315,3.9004106e-05,6.479999542236328
주택용,2022-04-24,normal,0,0,0,-0.15337765,0.00017235364,0.4000000059604645
주택용,2022-02-08,normal,0,0,0,-0.17255212,6.932516e-05,4.950000286102295
주택용,2024-03-29,normal,0,0,0,-0.17921372,3.8973285e-05,11.399999618530273
주택용,2024-10-18,normal,0,1,1,-0.17935425,0.00015887452,2.880000352859497
